200.2.a.e:200.1:1634.020:1:38739669358972081:1:0:[0,3,0,-2,1,-4,-5,1,2,-8,10,6,-3,-4,-4,-6,8,10,1,-12,-3,6,13,-9,14,6,-4,15,14,9,6,-12,-13,9,8,2,14,-7,12,-8,-19,2,-10,11,2,-28,-1,4,12,4,-6,24,-7,15,-30,-30,-16,-6,-8,-2,1,2,-13,14,22,-12,-27,-19,-17,-18,10,-18,-20,-10,-5,-6,30,-4,21,-11,-3,-12,-34,-5,16,21,-39,-1,12,36,28,22,38,36,-4,-36,34,-35,35,-32,19,28,32,17,-20,13,-3,-39,30,43]
200.2.c.a:200.49:1721.610:2:647546925877382740:0:0:[0,0,0,0,2,0,0,-2,0,16,20,0,-6,0,0,0,-16,20,0,-24,0,-12,0,18,0,12,0,0,-28,0,0,-24,0,-18,-16,4,0,0,0,0,38,4,-20,0,0,56,-2,0,0,-8,0,-48,-14,30,0,0,32,-12,0,-4,0,0,0,28,0,0,-54,0,0,36,0,36,0,0,10,0,-60,0,42,22,6,-24,-68,0,-32,0,78,0,24,0,0,-44,0,72,8,0,-68,-70,0,-64,0,0,0,-34,-40,0,0,0,-60,86]
200.2.c.b:200.49:1501.410:2:1322322344001834055:0:0:[0,0,0,0,8,0,0,-8,0,4,-16,0,-12,0,0,0,8,-4,0,0,0,0,0,12,0,12,0,0,-28,0,0,24,0,-24,20,-32,0,0,0,0,-40,-20,16,0,0,-16,-8,0,0,52,0,0,4,-24,0,0,-28,48,0,20,0,0,0,64,0,0,-24,0,0,-60,0,48,0,0,40,0,-12,0,36,-20,-72,12,-80,0,16,0,-36,0,-36,0,0,-32,0,72,56,0,4,20,0,-4,0,0,0,44,8,0,0,0,48,20]
400.2.a.a:400.1:1549.150:1:1624048841899094709:-1:1:[0,-3,0,2,-1,-4,-5,-1,-2,-8,-10,6,-3,4,4,-6,-8,10,-1,12,-3,-6,-13,-9,14,6,4,-15,14,9,-6,12,-13,-9,8,-2,14,7,-12,-8,19,2,10,11,2,28,1,-4,-12,4,-6,-24,-7,-15,-30,30,-16,6,-8,-2,-1,2,13,-14,22,-12,27,-19,17,-18,10,18,20,-10,5,6,30,-4,21,-11,3,-12,34,-5,-16,-21,-39,-1,12,-36,-28,-22,-38,-36,4,36,34,-35,-35,-32,-19,28,-32,17,20,13,3,-39,-30,43]
400.2.a.b:400.1:1729.440:1:217113512453937814:1:0:[0,-2,0,-2,4,4,0,4,2,2,0,4,2,6,6,-4,12,-10,-14,-8,8,-16,-2,6,16,6,-14,10,-6,16,6,12,8,-4,18,8,-4,-2,-18,-12,4,22,0,-16,-12,8,-4,-6,2,-6,-24,16,-22,20,0,-30,-6,16,-12,18,6,28,2,-24,8,12,-28,-16,-22,2,0,8,-10,-20,-20,-6,-30,-36,-14,14,-12,-2,-16,0,24,6,6,-24,-18,26,18,-32,-2,4,4,34,34,10,-10,-2,34,12,-18,-18,20,32,-38,-16,-40,18]
400.2.a.c:400.1:1706.250:1:2156139210869568784:1:0:[0,-2,0,2,0,-2,6,4,6,6,4,-2,6,-10,-6,6,-12,2,2,12,-2,-8,6,-6,-2,6,14,-6,2,6,2,0,-18,4,-6,-20,22,-10,18,6,12,-10,12,-26,-18,-8,16,-10,-6,14,6,24,14,0,6,-18,18,-20,-26,6,14,30,2,-12,22,6,-8,-2,-30,-10,-18,-24,-22,-26,28,6,-6,-2,-30,-34,-36,26,-36,-2,-8,6,6,-26,30,14,-30,24,26,0,4,-18,6,-6,14,14,26,30,-18,30,-8,22,-6,-18,0,-10]
400.2.a.d:400.1:1635.070:1:2204203944625626078:-1:1:[0,-1,0,-2,3,-4,-3,-5,-6,0,-2,2,-3,4,-12,6,0,2,13,-12,11,10,9,15,2,-18,4,3,-10,-9,-2,-12,-3,-5,0,-2,2,-11,-12,-24,15,2,18,-19,-18,-20,13,4,-12,20,6,0,17,-27,-18,-6,0,-2,32,-18,-11,6,-17,18,26,12,-17,-13,3,-10,6,-30,28,26,25,-6,30,-28,-3,5,15,-28,18,-19,40,9,-15,17,12,4,-12,-30,-2,-12,-20,-36,-30,-3,-41,32,-17,12,24,-15,28,-13,33,-9,-30,-13]
400.2.a.e:400.1:1676.040:1:1067883073129887856:-1:1:[0,0,0,-4,-4,2,-2,-4,4,-2,8,-6,-6,-8,4,-6,4,-2,8,0,6,0,-16,-6,14,6,4,0,14,-18,-12,-12,-10,-12,-10,16,2,16,12,-14,-20,-10,-8,14,-22,-8,4,-4,-24,-26,6,0,2,12,30,-12,14,-24,10,10,8,26,-8,-32,-26,18,12,14,-16,30,-2,24,20,-22,20,-36,6,2,18,10,-36,6,40,-2,8,24,18,-10,-18,12,8,-16,-20,-36,28,-12,-2,10,-8,-2,8,-14,16,-22,-4,-2,-48,-18,24,10]
400.2.a.f:400.1:1636.330:1:457465401429995534:1:0:[0,1,0,2,3,4,3,-5,6,0,-2,-2,-3,-4,12,-6,0,2,-13,-12,-11,10,-9,15,-2,-18,-4,-3,-10,9,2,-12,3,-5,0,-2,-2,11,12,24,15,2,18,19,18,-20,13,-4,12,20,-6,0,17,-27,18,6,0,-2,-32,-18,11,-6,17,18,-26,-12,-17,13,-3,-10,-6,-30,-28,-26,25,6,30,28,-3,5,15,-28,18,19,40,-9,-15,-17,12,-4,12,-30,2,-12,-20,36,-30,-3,41,32,17,-12,-24,-15,28,13,-33,9,-30,-13]
400.2.a.g:400.1:1547.130:1:1937093388678251015:1:0:[0,2,0,2,4,-4,0,4,-2,2,0,-4,2,-6,-6,4,12,-10,14,-8,-8,-16,2,6,-16,6,14,-10,-6,-16,-6,12,-8,-4,18,8,4,2,18,12,4,22,0,16,12,8,-4,6,-2,-6,24,16,-22,20,0,30,-6,16,12,18,-6,-28,-2,-24,-8,-12,-28,16,22,2,0,8,10,20,-20,6,-30,36,-14,14,-12,-2,-16,0,24,-6,6,24,-18,-26,-18,-32,2,4,4,-34,34,10,10,-2,-34,-12,18,-18,20,-32,38,16,-40,18]
400.2.a.h:400.1:1658.190:1:1139863185573482749:1:0:[0,3,0,-2,-1,4,5,-1,2,-8,-10,-6,-3,-4,-4,6,-8,10,1,12,3,-6,13,-9,-14,6,-4,15,14,-9,6,12,13,-9,8,-2,-14,-7,12,8,19,2,10,-11,-2,28,1,4,12,4,6,-24,-7,-15,30,-30,-16,6,8,-2,1,-2,-13,-14,-22,12,27,19,-17,-18,-10,18,-20,10,5,-6,30,4,21,-11,3,-12,34,5,-16,21,-39,1,12,36,28,-22,38,-36,4,-36,34,-35,35,-32,19,-28,32,17,20,-13,-3,39,-30,43]
400.2.c.a:400.49:1585.490:2:803717501031515350:0:0:[0,0,0,0,-2,0,0,2,0,16,-20,0,-6,0,0,0,16,20,0,24,0,12,0,18,0,12,0,0,-28,0,0,24,0,18,-16,-4,0,0,0,0,-38,4,20,0,0,-56,2,0,0,-8,0,48,-14,-30,0,0,32,12,0,-4,0,0,0,-28,0,0,54,0,0,36,0,-36,0,0,-10,0,-60,0,42,22,-6,-24,68,0,32,0,78,0,24,0,0,44,0,-72,-8,0,-68,-70,0,-64,0,0,0,-34,40,0,0,0,60,86]
400.2.c.b:400.49:1613.210:2:413030265682436804:0:0:[0,0,0,0,0,0,0,-8,0,-12,8,0,12,0,0,0,24,4,0,24,0,16,0,12,0,12,0,0,-4,0,0,0,0,-8,12,-40,0,0,0,0,-24,-20,24,0,0,16,32,0,0,-28,0,-48,28,0,0,0,-36,-40,0,12,0,0,0,-24,0,0,-16,0,0,20,0,48,0,0,-56,0,12,0,-60,68,72,52,-72,0,16,0,-12,0,60,0,0,-48,0,0,-8,0,-12,-12,0,28,0,0,0,-60,-16,0,0,0,0,-20]
400.2.c.c:400.49:1731.780:2:2041814849900898072:0:0:[0,0,0,0,6,0,0,10,0,0,-4,0,-6,0,0,0,0,4,0,-24,0,-20,0,-30,0,-36,0,0,20,0,0,-24,0,10,0,-4,0,0,0,0,-30,4,36,0,0,40,26,0,0,-40,0,0,34,-54,0,0,0,-4,0,-36,0,0,0,36,0,0,-34,0,0,20,0,60,0,0,-50,0,-60,0,-6,-10,-30,-56,36,0,-80,0,30,0,24,0,0,60,0,-24,40,0,60,-6,0,64,0,0,0,30,56,0,0,0,60,-26]
400.2.c.d:400.49:1684.490:2:1756564481190082033:0:0:[0,0,0,0,-8,0,0,8,0,4,16,0,-12,0,0,0,-8,-4,0,0,0,0,0,12,0,12,0,0,-28,0,0,-24,0,24,20,32,0,0,0,0,40,-20,-16,0,0,16,8,0,0,52,0,0,4,24,0,0,-28,-48,0,20,0,0,0,-64,0,0,24,0,0,-60,0,-48,0,0,-40,0,-12,0,36,-20,72,12,80,0,-16,0,-36,0,-36,0,0,32,0,-72,-56,0,4,20,0,-4,0,0,0,44,-8,0,0,0,-48,20]
400.2.n.a:400.143:2168.590:2:880642844699315210:0:0:[0,0,0,0,0,10,10,0,0,0,0,-10,16,0,0,-10,0,-24,0,0,-10,0,0,0,-10,4,0,0,0,-30,0,0,30,0,0,0,10,0,0,30,0,-36,0,10,30,0,0,0,0,0,10,0,16,0,-30,0,0,0,10,-64,0,-30,0,0,50,50,0,-50,0,0,-50,0,0,-50,0,0,0,-50,4,0,0,56,0,-10,0,0,0,50,-76,0,0,0,0,0,0,0,0,44,0,84,0,-10,0,0,0,50,0,30,0,96]
400.2.n.b:400.143:2199.780:4:713621174962498248:0:0:[0,0,0,0,0,-4,-4,0,0,0,0,-20,8,0,0,28,0,24,0,0,28,0,0,0,28,-40,0,0,0,-36,0,0,-36,0,0,0,44,0,0,60,0,24,0,-4,12,0,0,0,0,0,-4,0,-88,0,-36,0,0,0,-52,-56,0,-36,0,0,28,76,0,-4,0,0,-4,0,0,-4,0,0,0,44,8,0,0,-8,0,28,0,0,0,-68,-8,0,0,0,0,0,0,0,0,-152,0,-72,0,-116,0,0,0,28,0,-132,0,72]
400.2.n.c:400.143:1959.530:4:1135669258812724116:0:0:[0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,0,0,32,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,32,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,168,0,-152,0,0,0,0,0,0,0,0,0,112]
400.2.n.d:400.143:2159.820:8:703716062393180244:0:0:[0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,64,0,0,0,0,0,0,-96,0,0,0,0,0,0,0,0,-24,0,-64,0,0,0,0,0,0,0,0,0,104]
